Count;Name;Angle;Color;Delta X;Delta Y;Delta Z;End X;End Y;End Z;Hyperlink;Layer;Length;Linetype;Linetype Scale;Lineweight;Plot Style;Start X;Start Y;Start Z;Thickness
1;Line;45.00;ByLayer;65.7047;65.7150;0.0000;11314.3314;9484.0546;0.0000;;L_10;92.9277;ByLayer;1.0000;ByLayer;ByLayer;11248.6267;9418.3395;0.0000;0.0000
1;Line;49.31;ByLayer;66.9740;77.9020;0.0000;11248.6267;9418.3395;0.0000;;L_10;102.7338;ByLayer;1.0000;ByLayer;ByLayer;11181.6528;9340.4375;0.0000;0.0000
1;Line;38.14;ByLayer;63.2722;49.6912;0.0000;11377.6035;9533.7457;0.0000;;L_10;80.4524;ByLayer;1.0000;ByLayer;ByLayer;11314.3314;9484.0546;0.0000;0.0000
1;Line;6.47;ByLayer;54.9426;6.2342;0.0000;11492.2226;9569.8104;0.0000;;L_10;55.2952;ByLayer;1.0000;ByLayer;ByLayer;11437.2800;9563.5762;0.0000;0.0000
1;Line;26.56;ByLayer;59.6765;29.8305;0.0000;11437.2800;9563.5762;0.0000;;L_10;66.7169;ByLayer;1.0000;ByLayer;ByLayer;11377.6035;9533.7457;0.0000;0.0000
1;Line;109.15;ByLayer;-1765.8577;5085.9346;0.0000;11669.0811;10322.9319;0.0000;;L_11;5383.7705;ByLayer;1.0000;ByLayer;ByLayer;13434.9388;5236.9972;0.0000;0.0000
1;Line;180.00;ByLayer;-1206.9452;0.0000;0.0000;13434.9388;5236.9972;0.0000;;L_11;1206.9452;ByLayer;1.0000;ByLayer;ByLayer;14641.8841;5236.9972;0.0000;0.0000
1;Line;300.31;ByLayer;2972.8029;-5085.9346;0.0000;14641.8841;5236.9972;0.0000;;L_11;5891.0346;ByLayer;1.0000;ByLayer;ByLayer;11669.0811;10322.9319;0.0000;0.0000
1;Line;261.78;ByLayer;-2.1250;-14.7084;0.0000;11958.8521;5369.4490;0.0000;;L_4;14.8611;ByLayer;1.0000;ByLayer;ByLayer;11960.9771;5384.1574;0.0000;0.0000
1;Line;261.79;ByLayer;-2.1214;-14.7057;0.0000;11960.9771;5384.1574;0.0000;;L_4;14.8579;ByLayer;1.0000;ByLayer;ByLayer;11963.0985;5398.8631;0.0000;0.0000
1;Line;289.15;ByLayer;563.3699;-1622.5896;0.0000;12232.4510;8700.3423;0.0000;;L_10;1717.6095;ByLayer;1.0000;ByLayer;ByLayer;11669.0811;10322.9319;0.0000;0.0000
1;Line;109.15;ByLayer;-525.4714;1513.4365;0.0000;12552.0100;7779.9646;0.0000;;L_7;1602.0643;ByLayer;1.0000;ByLayer;ByLayer;13077.4814;6266.5281;0.0000;0.0000
1;Line;0.36;ByLayer;825.8472;5.1610;0.0000;13077.4814;6266.5281;0.0000;;L_7;825.8633;ByLayer;1.0000;ByLayer;ByLayer;12251.6342;6261.3671;0.0000;0.0000
1;Line;289.15;ByLayer;281.6717;-811.2567;0.0000;12552.0100;7779.9646;0.0000;;L_8;858.7645;ByLayer;1.0000;ByLayer;ByLayer;12270.3383;8591.2213;0.0000;0.0000
1;Line;239.64;ByLayer;-1143.0053;-1950.9637;0.0000;10526.0758;8371.9681;0.0000;;L_10;2261.1326;ByLayer;1.0000;ByLayer;ByLayer;11669.0811;10322.9319;0.0000;0.0000
1;Line;289.15;ByLayer;37.8873;-109.1210;0.0000;12270.3383;8591.2213;0.0000;;L_9;115.5112;ByLayer;1.0000;ByLayer;ByLayer;12232.4510;8700.3423;0.0000;0.0000
1;Line;261.73;ByLayer;-2.1406;-14.7202;0.0000;11941.7667;5251.7177;0.0000;;L_4;14.8750;ByLayer;1.0000;ByLayer;ByLayer;11943.9074;5266.4379;0.0000;0.0000
1;Line;261.73;ByLayer;-2.1399;-14.7196;0.0000;11943.9074;5266.4379;0.0000;;L_4;14.8744;ByLayer;1.0000;ByLayer;ByLayer;11946.0473;5281.1575;0.0000;0.0000
1;Line;261.72;ByLayer;-2.1410;-14.7204;0.0000;11939.6257;5236.9972;0.0000;;L_4;14.8753;ByLayer;1.0000;ByLayer;ByLayer;11941.7667;5251.7177;0.0000;0.0000
1;Line;266.24;ByLayer;-6.8980;-104.9085;0.0000;12080.0201;6384.4112;0.0000;;L_7;105.1350;ByLayer;1.0000;ByLayer;ByLayer;12086.9181;6489.3197;0.0000;0.0000
1;Line;267.18;ByLayer;-5.1049;-103.5558;0.0000;12086.9181;6489.3197;0.0000;;L_7;103.6815;ByLayer;1.0000;ByLayer;ByLayer;12092.0230;6592.8755;0.0000;0.0000
